,443,#BRACRC,205,#BRA,198,#CRC,102,#WorldCup,79,#Copa2018,39,6,28,#Rusia2018,28,#BrasilGanha,24,0-0,24,Costa,23,Neymar,22,#Bra,20,game,19,en,16,el,14,…,14,#bra,14,la,13,Rica,13,time,13,minutes,12,los,12,vote,12,#BRAxCRC,12,Brazil,12,OLHUGOL,12,@NavasKeylor,11,minutos,11,GOL,11
,1432,#BRA,727,#BRACRC,557,#CRC,223,#WorldCup,187,#Copa2018,115,#Bra,87,#bra,78,#Rusia2018,70,OLHUGOL,68,#BrasilGanha,55,1-0,54,6,47,Coutinho,47,Neymar,44,Costa,40,el,35,…,35,GOL,35,COUTINHO,35,la,31,0-0,30,vote,28,0,28,game,27,Gol,27,⁠,25,Rica,24,en,24,minutes,23
,2886,#BRA,1497,#BRACRC,1085,#CRC,419,#WorldCup,368,#Copa2018,235,Coutinho,162,#bra,157,#Bra,156,1-0,145,#Rusia2018,133,COUTINHO,100,#BrasilGanha,94,Costa,90,Neymar,72,…,68,OLHUGOL,68,el,67,la,66,-,65,0,65,GOL,64,6,62,Rica,58,Gol,55,en,54,Brazil,54,⁠,45,|,44,1,44
,4235,#BRA,2191,#BRACRC,1563,#CRC,620,#WorldCup,534,#Copa2018,357,Coutinho,297,#Bra,248,1-0,239,#bra,238,#Rusia2018,210,COUTINHO,160,Costa,151,#BrasilGanha,140,el,120,la,101,Neymar,98,0,98,GOL,94,Brazil,94,Rica,92,en,92,-,91,Gol,85,…,82,gol,80,1,80,6,74,OLHUGOL,73,le,69
,5556,#BRA,2899,#BRACRC,2060,#CRC,840,#WorldCup,754,#Copa2018,482,Coutinho,468,1-0,324,#Bra,319,#bra,304,#Rusia2018,287,COUTINHO,217,Costa,198,el,188,#BrasilGanha,181,Brazil,148,la,146,0,143,GOL,134,en,133,1,131,Neymar,127,Gol,124,Rica,123,-,121,gol,114,…,104,Brasil,94,le,92,|,91
,6764,#BRA,3489,#BRACRC,2525,#CRC,1044,#WorldCup,929,Coutinho,639,#Copa2018,578,1-0,423,#Bra,381,#bra,380,#Rusia2018,365,el,279,COUTINHO,273,Costa,261,#BrasilGanha,218,la,198,Brazil,197,0,185,en,180,1,174,Rica,164,Neymar,161,GOL,160,-,150,Gol,149,gol,145,…,138,y,127,Brasil,126,le,110
,8046,#BRA,4158,#BRACRC,3022,#CRC,1300,#WorldCup,1131,Coutinho,814,#Copa2018,704,1-0,534,#Rusia2018,456,#bra,452,#Bra,450,el,359,COUTINHO,340,Costa,318,#BrasilGanha,261,la,259,Brazil,250,0,229,en,224,1,219,Rica,199,Neymar,195,-,195,GOL,181,gol,180,Gol,180,…,172,y,165,Brasil,156,le,142
,9321,#BRA,4821,#BRACRC,3498,#CRC,1528,#WorldCup,1324,Coutinho,975,#Copa2018,837,1-0,633,#Rusia2018,555,#bra,534,#Bra,520,el,469,COUTINHO,387,Costa,369,la,314,#BrasilGanha,311,Brazil,303,en,281,1,267,0,265,gol,235,Neymar,233,Rica,232,-,226,y,212,…,211,GOL,208,Gol,202,Brasil,187,le,171
,10509,#BRA,5415,#BRACRC,3947,#CRC,1757,#WorldCup,1507,Coutinho,1131,#Copa2018,930,1-0,713,#Rusia2018,635,#bra,597,#Bra,593,el,575,COUTINHO,430,Costa,427,la,381,#BrasilGanha,361,en,357,Brazil,348,1,309,0,308,gol,288,Rica,272,y,269,Neymar,265,-,254,…,243,Brasil,232,Gol,221,GOL,219,le,199
,11559,#BRA,5956,#BRACRC,4333,#CRC,1956,#WorldCup,1674,Coutinho,1284,#Copa2018,1031,1-0,795,#Rusia2018,724,el,682,#bra,667,#Bra,648,Costa,470,COUTINHO,461,la,427,en,420,#BrasilGanha,408,Brazil,389,1,344,gol,342,0,341,y,325,Rica,299,Neymar,297,-,286,…,277,Brasil,267,Gol,249,GOL,232,le,230
,12421,#BRA,6401,#BRACRC,4658,#CRC,2123,#WorldCup,1804,Coutinho,1394,#Copa2018,1132,1-0,855,#Rusia2018,793,el,750,#bra,718,#Bra,692,Costa,511,COUTINHO,489,la,478,en,466,#BrasilGanha,443,Brazil,426,1,380,gol,378,0,373,y,370,Neymar,327,Rica,322,-,318,Brasil,302,…,301,Gol,264,le,248,GOL,244
